# Je drei Spalten beschreiben ein L: Temperatur, Wert, Fehler
# L:  16 32 64 128 256
0.1 1.17508417508 0   1.07070707071 0   0.949494949495 0   0.720538720539 0   1.04377104377 0
0.15 None 0   None 0   None 0   0.69696969697 0   None 0
0.16 None 0   None 0   None 0   None 0   0.989898989899 0
0.18 None 0   None 0   0.949494949495 0   None 0   None 0
0.2 None 0   None 0   None 0   0.713804713805 0   None 0
0.22 None 0   None 0   None 0   None 0   0.976430976431 0
0.24 None 0   1.12457912458 0   None 0   None 0   None 0
0.25 1.22222222222 0   None 0   None 0   0.717171717172 0   None 0
0.26 None 0   None 0   0.946127946128 0   None 0   None 0
0.28 None 0   None 0   None 0   None 0   0.969696969697 0
0.3 None 0   None 0   None 0   0.757575757576 0   None 0
0.34 None 0   None 0   1.05050505051 0   None 0   0.996632996633 0
0.35 None 0   None 0   None 0   0.717171717172 0   None 0
0.38 None 0   1.09090909091 0   None 0   None 0   None 0
0.4 1.2861952862 0   None 0   None 0   0.750841750842 0   1.0404040404 0
0.42 None 0   None 0   1.0303030303 0   None 0   None 0
0.45 None 0   None 0   None 0   0.774410774411 0   None 0
0.46 None 0   None 0   None 0   None 0   1.07070720777 0
0.5 None 0   None 0   1.03030706342 0   0.774412571038 0   None 0
0.52 None 0   1.11447811448 0   None 0   None 0   1.06397391902 0
0.55 1.24242424242 0   None 0   None 0   0.821544776033 0   0.949495790828 0
0.556 None 0   None 0   None 0   None 0   0.905725612875 0
0.562 None 0   None 0   None 0   None 0   0.946127558996 0
0.568 None 0   None 0   None 0   None 0   0.979799598438 0
0.574 None 0   None 0   None 0   None 0   0.959593354416 0
0.58 None 0   None 0   0.99327625854 0   None 0   0.915824582025 0
0.586 None 0   None 0   None 0   None 0   0.952860392358 0
0.592 None 0   None 0   None 0   None 0   0.85185400353 0
0.598 None 0   None 0   None 0   None 0   0.828281706694 0
0.6 None 0   None 0   None 0   0.811441064779 0   None 0
0.604 None 0   None 0   None 0   None 0   0.861950174859 0
0.61 None 0   None 0   None 0   None 0   0.85184868873 0
0.616 None 0   None 0   None 0   None 0   0.865321322445 0
0.622 None 0   None 0   None 0   None 0   0.804710658189 0
0.628 None 0   None 0   None 0   None 0   0.872054778097 0
0.634 None 0   None 0   None 0   None 0   0.912456527543 0
0.64 None 0   None 0   None 0   None 0   0.90235858914 0
0.646 None 0   None 0   None 0   None 0   0.831645937786 0
0.65 None 0   None 0   None 0   0.791258961337 0   None 0
0.652 None 0   None 0   None 0   None 0   0.804711811654 0
0.658 None 0   None 0   None 0   None 0   0.784507946735 0
0.66 None 0   1.14802052563 0   0.976433449807 0   None 0   None 0
0.664 None 0   None 0   None 0   None 0   0.888892664605 0
0.67 None 0   None 0   None 0   None 0   0.892251725653 0
0.676 None 0   None 0   None 0   None 0   0.966335653904 0
0.682 None 0   None 0   None 0   None 0   0.902354754134 0
0.688 None 0   None 0   None 0   None 0   0.95958863715 0
0.694 None 0   None 0   None 0   None 0   0.929291849695 0
0.7 1.29271558866 0   None 0   None 0   0.727282783701 0   0.804716413521 0
0.706 None 0   None 0   None 0   None 0   0.794607300022 0
0.712 None 0   None 0   None 0   None 0   0.740741522517 0
0.718 None 0   None 0   None 0   None 0   0.737365819125 0
0.724 None 0   None 0   None 0   None 0   0.962955428854 0
0.73 None 0   None 0   None 0   None 0   1.03367640245 0
0.736 None 0   None 0   None 0   None 0   1.24576814177 0
0.74 None 0   None 0   1.05717164643 0   None 0   None 0
0.742 None 0   None 0   None 0   None 0   1.16833910797 0
0.748 None 0   None 0   None 0   None 0   1.03702131036 0
0.75 None 0   None 0   None 0   0.831615463952 0   None 0
