# Je vier Spalten beschreiben ein Sigma: g, xi, gFehler, xiFehler
# Sigma:  0.0 0.5 1.0
None 1.0 None 0.0  None 1.0 None 0.0  39.7416691934 1.0 2.86312935235 0.0  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None 1.0 None 0.0  None 0.999999995099 None 4.06315749611e-10  40.5507241714 0.999999991784 3.0693884992 7.90569867942e-10  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None 0.999999999994 None 1.20068409258e-11  84.744513136 0.999999751534 6.00705175379 6.34265056457e-09  39.1166590739 0.999999606994 2.94404918711 1.14305280891e-08  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None 0.999999998415 None 1.42691212549e-10  60.8061766464 0.999997211604 2.52471172725 4.9469900394e-08  34.7225926621 0.999995631347 1.77166341268 5.87835500506e-08  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
1075.76190408 0.999999956282 16.0484255848 6.52624168422e-10  40.2179504045 0.999982574282 0.816899869949 2.62768809397e-07  25.9319893262 0.999972521635 0.33273131109 4.33471692808e-07  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
360.193704167 0.999999622857 1.47162664617 3.02463446005e-09  23.0871023829 0.999921003335 0.192999271658 1.09641011884e-06  16.3500993058 0.999868070373 0.238093531536 1.84531302321e-06  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
203.60950705 0.999998820113 0.47071039813 6.92579054724e-09  14.8101639114 0.999784699943 0.115789421715 3.22294062407e-06  10.5949862926 0.999613287033 0.115195818132 6.87028998871e-06  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
132.366271201 0.999997198208 0.279411937555 1.08476347394e-08  9.56584427386 0.999463939139 0.064730988339 7.71819514144e-06  6.57107490356 0.998876009966 0.0617156278641 2.18902289224e-05  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
91.8966680839 0.99999412597 0.116895967 1.42940635102e-08  5.80438011061 0.9984732411 0.0603166311223 3.14453330519e-05  3.6173906996 0.99586515638 0.0408945767068 9.99564830178e-05  
None None None None  None None None None  None None None None  
None None None None  5.13119028292 0.998035266532 0.0559188717851 3.55573252516e-05  3.04824916047 0.994002812931 0.0528258584945 0.000232566089377  
None None None None  None None None None  None None None None  
None None None None  4.51457916419 0.997377431859 0.0451819614245 6.88440089072e-05  2.56084059216 0.990983169598 0.0452802620341 0.000273345442897  
None None None None  None None None None  None None None None  
None None None None  3.90681504529 0.996450525381 0.0426334131915 8.08949726191e-05  2.10458551426 0.985829197319 0.0429751717533 0.000612882093099  
None None None None  None None None None  None None None None  
None None None None  3.35436547975 0.995091337714 0.0373870938077 0.000163129284199  1.68829894505 0.976273899172 0.0378686704089 0.0012286938597  
