# Je drei Spalten beschreiben ein L: Temperatur, Wert, Fehler
# L:  16 32 64 128
0.1 1.0 0.0   1.0 0.0   1.0 0.0   1.0 0.0  
0.15 None None   None None   None None   None None  
0.18 None None   None None   None None   None None  
0.2 None None   None None   None None   1.0 0.0  
0.24 None None   1.0 0.0   None None   None None  
0.25 1.0 0.0   None None   1.0 0.0   None None  
0.26 None None   None None   None None   None None  
0.3 None None   None None   None None   1.0 0.0  
0.34 None None   None None   None None   None None  
0.35 None None   None None   None None   None None  
0.38 None None   0.999999998144 3.6788059137e-09   None None   None None  
0.4 0.999999980079 2.04422292989e-08   None None   0.999999994388 5.06086823457e-09   0.999999995425 1.47185808972e-09  
0.42 None None   None None   None None   None None  
0.45 None None   None None   None None   None None  
0.5 None None   None None   None None   0.999999767773 1.3010228904e-08  
0.52 None None   0.999999596177 4.03507415968e-08   None None   None None  
0.55 0.999998915694 1.04942815418e-07   None None   0.999999006965 7.13668969863e-08   None None  
0.58 None None   None None   None None   None None  
0.6 None None   None None   None None   0.999996742954 2.74484789527e-08  
0.65 None None   None None   None None   None None  
0.66 None None   0.999989265239 2.06823925185e-07   None None   None None  
0.7 0.999977704915 7.57729142363e-07   None None   0.999977853621 2.62612659656e-07   0.999977808603 1.37847870312e-07  
0.74 None None   None None   None None   None None  
0.75 None None   None None   None None   None None  
0.8 None None   0.999907874906 6.5265555442e-07   None None   0.999906785442 2.62782245852e-07  
0.82 None None   None None   None None   None None  
0.83 None None   None None   None None   0.999865498759 3.26048328108e-07  
0.84 None None   None None   None None   None None  
0.85 0.999831721941 1.83423417554e-06   None None   0.999830904538 6.81605111296e-07   None None  
0.86 None None   None None   None None   0.999810245256 2.33222983061e-07  
0.87 None None   None None   None None   None None  
0.88 None None   None None   None None   None None  
0.89 None None   None None   None None   0.999737936245 4.72202151233e-07  
0.9 None None   0.999710360449 1.19685861033e-06   0.999710437409 8.37003077947e-07   None None  
0.91 None None   None None   None None   None None  
0.92 None None   None None   None None   0.999647199524 4.80163206456e-07  
0.93 None None   None None   0.999611927273 8.32328726914e-07   None None  
0.94 None None   None None   None None   None None  
0.95 None None   None None   None None   0.999531712736 4.84675317321e-07  
0.96 None None   None None   0.999487027551 1.43242258843e-06   None None  
0.97 None None   None None   None None   None None  
0.98 None None   None None   None None   0.999388827439 6.11771034647e-07  
0.99 None None   0.999331744315 1.77479571578e-06   0.999333833023 1.30910594238e-06   None None  
1.0 0.999278414034 4.02459123749e-06   None None   None None   None None  
1.01 None None   None None   None None   0.999214253379 7.94314082456e-07  
1.02 None None   None None   0.999146305729 1.55956742155e-06   None None  
1.03 None None   None None   None None   None None  
1.04 None None   None None   None None   0.999001964371 8.3913894583e-07  
1.05 None None   None None   0.998922137213 1.49539086133e-06   None None  
1.06 None None   None None   None None   None None  
1.07 None None   None None   None None   0.998747910994 1.06686161944e-06  
1.08 None None   0.998654374401 3.1234806975e-06   0.998650231781 2.01587542242e-06   None None  
1.09 None None   None None   None None   None None  
1.1 None None   None None   None None   0.998447413805 1.12600564906e-06  
1.11 None None   None None   0.998335328936 2.67222767783e-06   None None  
1.12 None None   None None   None None   None None  
