# Je drei Spalten beschreiben ein Sigma: Temperatur, Wert, Fehler
# Sigma:  0.0 0.03 0.05 0.08 0.1 0.12 0.15 0.2 0.25 0.3 0.4 0.5 0.6 0.7 0.8 0.9 1.0 1.1 1.2
0.1 1.0 0.0   1.0 0.0   1.0 0.0   1.0 0.0   1.0 0.0   1.0 0.0   1.0 0.0   1.0 0.0   1.0 0.0   1.0 0.0   1.0 0.0   1.0 0.0   1.0 0.0   1.0 0.0   1.0 0.0   1.0 0.0   1.0 0.0   1.0 0.0   1.0 0.0  
0.15 None None   None None   None None   None None   None None   None None   None None   0.99999999756 7.40063436569e-10   0.99999999756 9.26236325784e-10   0.999999997804 7.51693232884e-10   0.999999997072 8.14052691244e-10   0.999999996828 7.89108950308e-10   0.999999993412 1.37607994237e-09   0.999999993168 1.27557632401e-09   0.999999993656 1.13039165811e-09   0.999999990728 1.3882243723e-09   0.99999999268 1.30886779786e-09   0.9999999939 1.40304822201e-09   0.999999992924 1.30033856848e-09  
0.18 None None   None None   None None   None None   None None   None None   None None   None None   None None   None None   None None   None None   None None   None None   None None   None None   None None   None None   None None  
0.2 1.0 0.0   1.0 0.0   1.0 0.0   1.0 0.0   0.999999999756 2.36554186445e-10   0.999999993168 1.60108438253e-09   0.999999971452 2.82298590584e-09   0.999999908988 4.17274085303e-09   0.99999989752 5.8608836438e-09   0.999999886296 5.24928506747e-09   0.999999883612 6.20851089551e-09   0.999999861652 6.74366564271e-09   0.99999983164 8.0620929659e-09   0.999999800164 8.01714014235e-09   0.99999977796 7.83858303812e-09   0.99999977674 9.62139796036e-09   0.999999764784 8.26843094664e-09   0.999999742336 8.94413864853e-09   0.99999973526 8.43825802476e-09  
0.24 None None   None None   None None   None None   None None   None None   None None   None None   None None   None None   None None   None None   None None   None None   None None   None None   None None   None None   None None  
0.25 None None   None None   None None   None None   None None   None None   None None   0.999999138924 1.87791029447e-08   0.999998969832 1.89797735821e-08   0.999998922252 2.16956869418e-08   0.99999876292 2.19190157228e-08   0.99999857138 2.67777292233e-08   0.999998332992 2.6952479841e-08   0.999998037264 3.55714074197e-08   0.999997833768 4.19098710013e-08   0.999997706888 4.21944116831e-08   0.999997609044 4.16896951793e-08   0.999997527792 4.012754103e-08   0.999997461424 4.2421005541e-08  
0.26 None None   None None   None None   None None   None None   None None   None None   None None   None None   None None   None None   None None   None None   None None   None None   None None   None None   None None   None None  
0.3 1.0 0.0   1.0 0.0   1.0 0.0   0.999999998536 1.02666821171e-09   0.999999972672 5.2043511336e-09   0.999999720864 1.67193571547e-08   0.999998515016 4.30907070087e-08   0.999995930812 6.05869608773e-08   0.999994977748 5.96122834974e-08   0.999994674456 6.69495685484e-08   0.999993806548 7.33734713545e-08   0.99999266292 7.82070353001e-08   0.999991333364 1.0331945232e-07   0.999990098236 9.57388404577e-08   0.999989088802 1.32798811107e-07   0.99998860764 1.25136429373e-07   0.999988158674 1.32440408502e-07   0.999987627734 1.22087843056e-07   0.99998743717 1.28595242487e-07  
0.34 None None   None None   None None   None None   None None   None None   None None   None None   None None   None None   None None   None None   None None   None None   None None   None None   None None   None None   None None  
0.35 None None   None None   None None   None None   None None   None None   None None   0.999986762024 1.76689845946e-07   0.99998320304 1.92166567886e-07   0.999981789792 1.69531368519e-07   0.9999783123 1.72767030209e-07   0.999974255556 2.02363599604e-07   0.999969764004 2.86845304187e-07   0.999966003214 2.44617566018e-07   0.999962798516 3.40949864217e-07   0.999960853832 3.22443456752e-07   0.999959211704 2.98290610296e-07   0.999957508096 3.02116592638e-07   0.999956852716 3.01217757874e-07  
0.38 None None   None None   None None   None None   None None   None None   None None   None None   None None   None None   None None   None None   None None   None None   None None   None None   None None   None None   None None  
