# Je vier Spalten beschreiben ein Sigma: g, xi, gFehler, xiFehler
# Sigma:  0.0 0.5 1.0
None 1.0 None 0.0  None 1.0 None 0.0  None 1.0 None 0.0  
None None None None  None 0.999999999999 None 6.01203236935e-13  None 0.999999999998 None 7.05731075406e-13  
None None None None  None None None None  None None None None  
None 1.0 None 0.0  None 0.99999999996 None 4.13887922343e-12  None 0.999999999931 None 8.4519825649e-12  
None None None None  None None None None  None None None None  
None None None None  None 0.999999999595 None 1.37242286471e-11  None 0.999999999289 None 2.85837106174e-11  
None None None None  None None None None  None None None None  
None 1.0 None 0.0  None 0.999999997863 None 3.53559030621e-11  None 0.999999996382 None 6.94249966636e-11  
None None None None  None None None None  None None None None  
None None None None  None 0.999999992309 None 1.0735094628e-10  None 0.999999987102 None 1.44275527149e-10  
None None None None  None None None None  None None None None  
None 0.999999999999 None 3.23915794587e-13  None 0.999999977561 None 2.86587201997e-10  None 0.999999963369 None 2.84141675187e-10  
None None None None  None None None None  None None None None  
None None None None  None 0.999999943347 None 4.84597878368e-10  1237.34591825 0.999999909156 60.5283370514 5.9119810649e-10  
None 0.999999999943 None 1.95441156789e-12  1372.07299545 0.999999871586 34.2724284665 1.12660937632e-09  593.1301702 0.999999797805 21.8313677157 1.15929900832e-09  
None None None None  None None None None  None None None None  
None None None None  639.707082924 0.999999731766 11.9126717247 1.52213731536e-09  345.248684058 0.999999580161 4.12446496448 2.3535646537e-09  
None None None None  None None None None  None None None None  
None 0.999999999195 None 8.18856290081e-12  359.185692213 0.999999474825 4.61436813105 2.21228196998e-09  235.011110459 0.999999179133 3.38327320552 3.68909559547e-09  
None None None None  236.734288838 0.999999027059 1.88850513311 5.10923041938e-09  172.296824768 0.999998481478 1.78076222772 9.97166819116e-09  
None None None None  None None None None  None None None None  
None 0.999999994537 None 4.68795714659e-11  171.536826372 0.999998276518 0.613248237139 8.22617193185e-09  130.230766512 0.999997274106 0.73867328531 1.34666034121e-08  
None None None None  None None None None  None None None None  
None None None None  129.576899672 0.999997038168 0.379646032024 1.16175510382e-08  99.4304058577 0.999995217111 0.394552289539 1.80423514822e-08  
None 0.99999997665 None 7.45755288336e-11  99.8589054725 0.999995034439 0.317581041206 3.45777779145e-08  76.3273928005 0.999991702024 0.250431232525 3.98146873177e-08  
None None None None  90.1508313048 0.999993915865 0.344037056795 2.8482156543e-08  68.6607064712 0.999989788741 0.274099994476 4.05469610077e-08  
None 0.999999966159 None 9.91049579808e-11  85.5901536568 0.999993282757 0.239250794208 3.10224229722e-08  64.9995603597 0.999988549944 0.247438566129 6.51581422855e-08  
None None None None  81.473280016 0.999992553614 0.192788368637 3.23112778658e-08  61.7658736994 0.999987314172 0.208957002606 5.15021070676e-08  
