# Je vier Spalten beschreiben ein Sigma: g, xi, gFehler, xiFehler
# Sigma:  0.0 0.5 1.0
None 1.0 None 0.0  None 1.0 None 0.0  14.7411077719 1.0 1.79089197231 0.0  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None 1.0 None 0.0  None 0.999999970542 None 8.75337271259e-09  14.4986970268 0.999999959124 1.57118448457 9.28826187666e-09  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None 1.0 None 0.0  28.8268376651 0.999998518199 4.01317232287 8.94042522434e-08  14.996364376 0.999997794281 1.88007881265 1.64935515139e-07  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None 0.999999984146 None 3.8278338147e-09  20.4634888793 0.999982609596 1.18939979192 6.70296805577e-07  12.2295411594 0.999974022775 0.922286655528 1.18799746188e-06  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
397.182839181 0.999999650613 5.50026762894 1.0905639705e-08  14.0201237077 0.999889534036 0.457014715861 2.63808775385e-06  8.94110519753 0.999838496478 0.312379058994 3.74380685766e-06  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
136.591905679 0.999997243969 0.790715236521 3.43404116582e-08  8.52272116799 0.999485380148 0.15543506178 9.96909898638e-06  6.02280044402 0.99917628727 0.157130959765 2.87424495714e-05  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
64.7690179423 0.99998783943 0.204798118415 8.32687111524e-08  4.66022640255 0.99772164395 0.0619812532583 6.23418424102e-05  3.30664615589 0.995710879532 0.0640682588108 0.000182914951258  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  2.83875928151 0.99287224136 0.0515895435509 0.000256486799516  1.95541227824 0.984565637962 0.0419219551943 0.000652164797011  
None None None None  None None None None  None None None None  
None None None None  2.52777632776 0.990876781642 0.0412908264476 0.000299614237578  1.7392045343 0.978964023687 0.0409741240416 0.000888066493618  
None None None None  None None None None  None None None None  
None None None None  2.26816780609 0.988091063382 0.0277896975757 0.00054999704732  1.54271644583 0.972086896234 0.0343365828619 0.00119568671708  
36.2308075245 0.99996105352 0.0878576184739 2.17637710851e-07  None None None None  None None None None  
None None None None  2.00861649862 0.984398218002 0.0286191034616 0.000635301101167  1.34337297601 0.962738015327 0.0268549647379 0.00204839185112  
None None None None  None None None None  None None None None  
None None None None  1.77330515105 0.979055814299 0.0284353144001 0.000628125707429  1.17974878891 0.950373751574 0.0223043881841 0.00203631602293  
None None None None  None None None None  None None None None  
