# Je vier Spalten beschreiben ein Sigma: g, xi, gFehler, xiFehler
# Sigma:  0.0 0.5 1.0
None 1.0 None 0.0  None 1.0 None 0.0  None 1.0 None 0.0  
None None None None  None None None None  None None None None  
None None None None  None 0.999999999955 None 1.72550061884e-11  None 0.999999999877 None 2.40689632571e-11  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None 1.0 None 0.0  None None None None  None None None None  
None None None None  None 0.999999997689 None 1.38641251717e-10  736.013396815 0.99999999578 125.634685873 1.71177535418e-10  
None None None None  None None None None  None None None None  
None None None None  845.968071048 0.999999975618 66.4757976256 7.22703351989e-10  258.005922026 0.999999959256 29.3285042745 9.52146532725e-10  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None 0.999999999996 None 3.69056391209e-12  None None None None  None None None None  
None None None None  359.923065894 0.999999868373 13.2659723467 1.89538605035e-09  163.144927151 0.999999786472 13.7118514642 4.03330066333e-09  
None None None None  None None None None  None None None None  
None None None None  209.197274304 0.999999487107 5.83011748065 4.89992570459e-09  120.40571972 0.999999193637 5.45733358019 8.57742254407e-09  
None None None None  None None None None  None None None None  
None 0.999999999013 None 5.16188387463e-11  None None None None  None None None None  
None None None None  142.289337594 0.99999838895 3.08699589731 1.73144990004e-08  91.5799113474 0.999997482526 3.23160423132 2.01709281704e-08  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  96.3847980614 0.999995648166 0.912817565323 3.46832623089e-08  68.051178375 0.999993141728 0.928225824597 5.76723513243e-08  
None 0.999999977955 None 2.39284698588e-10  None None None None  None None None None  
None None None None  65.3574786618 0.999989352898 0.437612627376 6.39412903669e-08  48.0005912324 0.999982954237 0.301111711342 1.33592658955e-07  
None None None None  None None None None  None None None None  
None None None None  49.0403658348 0.99998019993 0.186129722335 1.72490679265e-07  36.4727041115 0.999966986304 0.22060185975 2.6356920549e-07  
None None None None  44.5058595437 0.999975713835 0.148887887997 1.86613858446e-07  33.1343494634 0.999958909826 0.179661675789 4.02487149521e-07  
None None None None  None None None None  None None None None  
None None None None  40.3910181239 0.999970432607 0.151545015384 2.21905579765e-07  30.098681565 0.999949215123 0.186886496919 3.64621263079e-07  
932.885773329 0.999999828961 5.85776715253 1.09187498183e-09  None None None None  None None None None  
None None None None  36.5627675722 0.999963810973 0.118417114 2.81865363201e-07  27.1118124708 0.999936984632 0.16992561342 7.00103065211e-07  
None None None None  None None None None  None None None None  
None None None None  33.2496514659 0.999956116934 0.11676438739 3.22400588251e-07  24.4113648909 0.999921250547 0.150081856247 6.71276245577e-07  
None None None None  None None None None  None None None None  
593.025845674 0.999999702015 2.29976966983 1.56559212663e-09  30.1259930866 0.999946040481 0.113073246804 3.72316529462e-07  22.0132282769 0.999902239571 0.0979286402613 1.16411915139e-06  
None None None None  None None None None  None None None None  
None None None None  27.2589874701 0.999933849218 0.0927817648908 4.81638391731e-07  19.8043559536 0.999877460477 0.109876921597 1.23580534428e-06  
467.571948545 0.999999598592 1.19602787158 1.76625707095e-09  None None None None  None None None None  
None None None None  24.6928923007 0.999918944126 0.101121295984 7.60903639525e-07  17.6585586681 0.999845767472 0.119449992386 1.29751010114e-06  
None None None None  None None None None  None None None None  
375.267306705 0.999999464442 1.29153129746 2.47508250804e-09  22.288703753 0.999900915909 0.0899575439841 7.38111382926e-07  15.7545585148 0.999804532396 0.0979536473126 2.27805660724e-06  
None None None None  None None None None  None None None None  
None None None None  20.0453010939 0.999877166913 0.0797126570373 9.60412890845e-07  13.9712367897 0.999748707328 0.0808527653486 2.38266516004e-06  
310.22781714 0.999999297052 0.74379872597 3.07458450421e-09  None None None None  None None None None  
None None None None  18.0812151331 0.999849132444 0.0983572209048 1.17363108576e-06  12.3286865066 0.999677623534 0.087126502932 3.73894935569e-06  
None None None None  None None None None  None None None None  
260.749052728 0.999999089199 0.585068301343 4.48881983284e-09  16.2263434954 0.99981050366 0.0691409754741 1.98315594095e-06  10.7866016614 0.999575727734 0.0443243634156 7.01693455845e-06  
None None None None  None None None None  None None None None  
None None None None  14.4252877621 0.999762645496 0.0558076598354 2.93647403194e-06  9.33533827138 0.999432182206 0.0778796218895 1.00091301684e-05  
222.737024887 0.999998835987 0.551795071205 5.52579696171e-09  None None None None  None None None None  
None None None None  12.8305031285 0.999699064878 0.0482517806982 2.48998759523e-06  8.01734592233 0.999231056801 0.0729370191202 1.13050197033e-05  
None None None None  None None None None  None None None None  
193.596450015 0.99999852164 0.395870406843 4.92411643432e-09  11.3220123465 0.999613433021 0.0505167703108 3.31792600682e-06  6.79003269702 0.998916066118 0.0625652257258 1.30629652065e-05  
None None None None  None None None None  None None None None  
None None None None  9.91111765764 0.99949652348 0.0360588130648 5.17968629416e-06  5.63586310126 0.99841604544 0.0614765194077 3.05913360154e-05  
170.585340195 0.999998152324 0.301876603694 5.40710436306e-09  None None None None  None None None None  
None None None None  8.57220372029 0.999324455557 0.0486817264846 8.03291099428e-06  4.53013868914 0.997546203447 0.0543293176705 5.38793522106e-05  
None None None None  None None None None  None None None None  
151.156402396 0.999997702131 0.165564317412 8.32113217034e-09  7.36238653968 0.999074716012 0.0376704008623 9.90237067193e-06  3.56734965556 0.995731392145 0.0485079824251 0.00011461927339  
None None None None  None None None None  None None None None  
None None None None  6.21358192693 0.998692336902 0.0420456603437 1.71432215363e-05  2.65363208741 0.991852618063 0.0297257010716 0.00027745966229  
135.59028542 0.999997171265 0.225001183117 1.29840554686e-08  None None None None  None None None None  
None None None None  5.09763011239 0.998033145732 0.0425664339306 3.02405671082e-05  1.85402867917 0.981338942644 0.0340475312092 0.000824735343981  
None None None None  None None None None  None None None None  
122.055648319 0.999996534364 0.14313652467 1.12995873429e-08  4.08656489855 0.996870534258 0.0353106649449 5.85089636343e-05  1.19650943134 0.949300651222 0.0275113214057 0.00227270900253  
None None None None  None None None None  None None None None  
None None None None  3.13641881846 0.994449800686 0.0386452513906 8.75075627555e-05  0.731923660499 0.869176175457 0.0180254245298 0.00480014344371  
110.187125732 0.999995786018 0.165655956489 1.47490761953e-08  None None None None  None None None None  
None None None None  2.26937598323 0.98863098483 0.0337517810661 0.000390465622021  0.459041145033 0.713772453059 0.00708077203073 0.00688893951611  
None None None None  None None None None  None None None None  
100.129455815 0.99999488785 0.144335122413 1.49830660066e-08  1.51013990603 0.971066238072 0.0255596062411 0.00101722252391  0.309944046905 0.527228208393 0.00527118551024 0.0100504462776  
None None None None  None None None None  None None None None  
None None None None  0.942533262883 0.920621081136 0.0178753647186 0.00290165795428  0.226439641129 0.364898307193 0.00195890755674 0.00717652510281  
91.1960538249 0.999993872617 0.110240567092 1.9577196769e-08  None None None None  None None None None  
None None None None  0.581586461837 0.805991762519 0.0116036486895 0.00686670142839  0.175931278198 0.243588538334 0.00159063480617 0.00580262513017  
None None None None  None None None None  None None None None  
83.2498284392 0.999992634302 0.125731772533 2.3493586675e-08  0.375671311693 0.619364851372 0.00527915620646 0.00831599217566  0.144280899299 0.179346233469 0.00118508998401 0.00454665169449  
None None None None  None None None None  None None None None  
None None None None  0.262047148191 0.438096793726 0.00272443520049 0.00599417496711  0.12262523773 0.128072313809 0.000890125148377 0.00415864253523  
76.2095772162 0.999991217178 0.100174050633 3.08302928745e-08  None None None None  None None None None  
None None None None  0.199031791689 0.296934715279 0.00175376269453 0.00489638330952  0.105653048858 0.0978453171045 0.000863552073379 0.00465065544487  
None None None None  None None None None  None None None None  
69.719208356 0.999989587666 0.102895076183 3.0011932284e-08  0.158649431243 0.199596054822 0.00138300077104 0.00541953365913  0.0929749916214 0.0778954137415 0.00106446290533 0.00537462971372  
None None None None  None None None None  None None None None  
None None None None  0.132468094463 0.142272407918 0.00095009377899 0.00423168552629  0.0837306580632 0.0669459720251 0.000969349664448 0.00399214035486  
63.9940784311 0.999987609008 0.0807247070073 4.39926447705e-08  None None None None  None None None None  
None None None None  0.11322539658 0.110555159811 0.000991701841922 0.0051413992998  0.0758972443965 0.052478676318 0.00105543940234 0.00508298263893  
None None None None  None None None None  None None None None  
58.9013352576 0.999985408412 0.0772999951499 4.61302216388e-08  0.0984267253614 0.0817846435479 0.000921888150025 0.00439643030598  0.0694315124512 0.0440192595273 0.000931201408377 0.00529004538069  
None None None None  None None None None  None None None None  
None None None None  0.0886405589408 0.0681174208651 0.000692813205645 0.00531584308808  0.0634406051771 0.0342559528319 0.000964773969453 0.00580368997947  
None None None None  None None None None  None None None None  
54.1876885066 0.999982736845 0.0643852039071 7.53127270236e-08  None None None None  None None None None  
None None None None  0.0799627841517 0.0521290302566 0.000967850889693 0.00504396183706  None 0.0372308481606 None 0.00388947043131  
None None None None  None None None None  None None None None  
49.9015725117 0.999979659168 0.0889491393531 7.29760614898e-08  0.0727345909241 0.0442974202644 0.00103126069163 0.00408441864116  0.0557478504847 0.0300479031447 0.00112387709805 0.0067182322445  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
46.0071866655 0.999976036992 0.0621198519364 6.5436110201e-08  None None None None  None None None None  
None None None None  0.0632898469797 0.0392657473436 0.000886182596883 0.00457989182001  None 0.0246956058253 None 0.00575599347486  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
42.4272262514 0.999971857896 0.0498545074337 1.20104926374e-07  None None None None  None None None None  
None None None None  0.0557035075095 0.0319685428641 0.00112550137406 0.00464311405383  None 0.0140172967523 None 0.00637956608069  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
39.1126254912 0.999966851045 0.0472590837269 1.06432216991e-07  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None 0.021214623958 None 0.00482048644131  None 0.0151105392169 None 0.00616161220688  
None None None None  None None None None  None None None None  
36.0465685482 0.999960976571 0.0431500671027 1.47394357309e-07  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None 0.0241318664231 None 0.00541362016122  None 0.013139456424 None 0.0067831160434  
None None None None  None None None None  None None None None  
33.2503681949 0.999953969727 0.0447130843229 1.26511454376e-07  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None 0.0131969659853 None 0.00688571575271  None 0.0134254339318 None 0.00649076647377  
30.587885067 0.99994576423 0.0455014533566 2.28336224434e-07  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
28.1370477392 0.999935655213 0.0574502043168 2.19972558116e-07  None 0.0128528799652 None 0.00549558191444  None 0.011587779294 None 0.0044142568998  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
25.8061575263 0.999924212458 0.0397511675308 1.92714946378e-07  None None None None  None None None None  
None None None None  None 0.0118099601423 None 0.00644900165841  None 0.0224089513202 None 0.00678522900571  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
23.6101046421 0.999909017719 0.0324352366133 2.71541727566e-07  None None None None  None None None None  
None None None None  None 0.00603670160931 None 0.004876171952  None 0.00581225881178 None 0.00701329231002  
None None None None  None None None None  None None None None  
21.6463873845 0.999891291777 0.0284124360338 3.55873300837e-07  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None 0.0100208579975 None 0.00546000491377  None 0.00828382951997 None 0.00582595886832  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
19.7035866734 0.999868814787 0.032037461582 4.31325591166e-07  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None 0.00589734050012 None 0.00422113709901  None 0.00769901412856 None 0.00564838977378  
None None None None  None None None None  None None None None  
17.8966082607 0.999841254611 0.0197370395973 5.02655807135e-07  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None 0.0103768297106 None 0.00765952778938  None 0.00885478066478 None 0.00750728336271  
16.1985942807 0.999805847598 0.0229649437041 5.9566022884e-07  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
14.6085048507 0.999760918901 0.021590896953 8.14614477773e-07  None 0.0117468873127 None 0.0069799708151  None 0.00430802683052 None 0.00677984618722  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
None None None None  None None None None  None None None None  
