# Je drei Spalten beschreiben ein L: Temperatur, Wert, Fehler
# L:  16 32 64 128
0.1 0.0 0.0   0.0 0.0   0.0 0.0   0.0 0.0  
0.15 None None   None None   None None   None None  
0.18 None None   None None   None None   None None  
0.2 None None   None None   None None   0.0 0.0  
0.24 None None   0.0 0.0   None None   None None  
0.25 0.0 0.0   None None   0.0 0.0   None None  
0.26 None None   None None   None None   None None  
0.3 None None   None None   None None   0.0 0.0  
0.34 None None   None None   None None   None None  
0.35 None None   None None   None None   None None  
0.38 None None   4.32770080547e-07 3.93892102565e-07   None None   None None  
0.4 4.68703125e-06 2.50061646238e-06   None None   9.76242216499e-07 3.98895006676e-07   9.26480599614e-07 1.90309661964e-07  
0.42 None None   None None   None None   None None  
0.45 None None   None None   None None   None None  
0.5 None None   None None   None None   2.97173294042e-05 8.66933570738e-07  
0.52 None None   4.78303670218e-05 3.00342096278e-06   None None   None None  
0.55 0.000117327603306 1.00813610233e-05   None None   0.000104867075029 3.05734123834e-06   None None  
0.58 None None   None None   None None   None None  
0.6 None None   None None   None None   0.000291872308663 2.58074989082e-06  
0.65 None None   None None   None None   None None  
0.66 None None   0.000791180624502 1.17506197183e-05   None None   None None  
0.7 0.00146234566327 2.29483385138e-05   None None   0.0014522867248 9.47585281258e-06   0.00144936286838 6.00527848948e-06  
0.74 None None   None None   None None   None None  
0.75 None None   None None   None None   None None  
0.8 None None   0.00464474529587 2.34110649026e-05   None None   0.00467248736946 1.09718674021e-05  
0.82 None None   None None   None None   None None  
0.83 None None   None None   None None   0.00625900066348 1.45715246284e-05  
0.84 None None   None None   None None   None None  
0.85 0.00750232557093 4.58397446721e-05   None None   0.00751498240604 2.33056442847e-05   None None  
0.86 None None   None None   None None   0.00825803841159 1.58386061687e-05  
0.87 None None   None None   None None   None None  
0.88 None None   None None   None None   None None  
0.89 None None   None None   None None   0.0106145878808 2.3503761287e-05  
0.9 None None   0.0114738549128 3.24381974616e-05   0.0115177264106 3.32064741596e-05   None None  
0.91 None None   None None   None None   None None  
0.92 None None   None None   None None   0.0133823764024 2.55720585802e-05  
0.93 None None   None None   0.0144339750662 3.10415680503e-05   None None  
0.94 None None   None None   None None   None None  
0.95 None None   None None   None None   0.0166893650843 3.79612632307e-05  
0.96 None None   None None   0.0179546428839 4.35375569056e-05   None None  
0.97 None None   None None   None None   None None  
0.98 None None   None None   None None   0.0205699895971 4.20351912798e-05  
0.99 None None   0.0219827131025 5.53211284814e-05   0.0219229848943 4.84732882286e-05   None None  
1.0 0.0232622989625 8.59419909414e-05   None None   None None   None None  
1.01 None None   None None   None None   0.0249206916502 5.12619673102e-05  
1.02 None None   None None   0.0265094048589 5.93271062446e-05   None None  
1.03 None None   None None   None None   None None  
1.04 None None   None None   None None   0.0298675058292 6.55190982395e-05  
1.05 None None   None None   0.0315886862475 6.463525832e-05   None None  
1.06 None None   None None   None None   None None  
1.07 None None   None None   None None   0.0353050187353 6.83312337587e-05  
1.08 None None   0.0373365433808 7.47636628387e-05   0.0374909647342 9.02416268361e-05   None None  
1.09 None None   None None   None None   None None  
1.1 None None   None None   None None   0.041539283219 7.14336399728e-05  
1.11 None None   None None   0.0437918388263 8.85511808719e-05   None None  
1.12 None None   None None   None None   None None  
1.13 None None   None None   None None   0.0481453366514 0.00012645808723  
1.14 None None   None None   0.05095421351 0.000105263479331   None None  
1.15 0.0533254694518 0.000129789590475   None None   None None   None None  
1.16 None None   None None   None None   0.0559486216935 0.000120206090886  
1.17 None None   0.0587175542773 0.000107381394013   0.0586039818712 0.000139076078601   None None  
1.18 None None   None None   None None   None None  
1.19 None None   None None   None None   0.0640914842752 0.000121148054692  
1.2 None None   None None   0.0671882981857 0.000125809689989   None None  
1.21 None None   None None   None None   None None  
1.22 None None   None None   None None   0.0732332445572 0.000146200801252  
1.23 None None   None None   0.0763998156357 0.000165795004865   None None  
1.24 None None   None None   None None   None None  
1.25 None None   None None   None None   0.0832735056587 0.000175981309165  
1.26 None None   0.0863115004669 0.000141732781495   0.0866780703834 0.000166852053277   None None  
1.27 None None   None None   None None   None None  
1.28 None None   None None   None None   0.0934420042434 0.000199352010282  
1.29 None None   None None   0.0971220600125 0.000232369852492   None None  
1.3 0.100912668628 0.000198740170578   None None   None None   None None  
1.31 None None   None None   None None   0.104858765186 0.000235187261309  
1.32 None None   None None   0.109105471412 0.000246616292029   None None  
1.33 None None   None None   None None   None None  
1.34 None None   None None   None None   0.117213354416 0.000260532122295  
1.35 None None   0.121004563772 0.000202686790637   0.121489517819 0.000253734393092   None None  
1.36 None None   None None   None None   None None  
1.37 None None   None None   None None   0.130282932383 0.000203789092893  
1.38 None None   None None   0.134436132972 0.00027177562009   None None  
1.39 None None   None None   None None   None None  
1.4 None None   None None   None None   0.143660458735 0.00029502394907  
1.41 None None   None None   0.149375444055 0.000287100075577   None None  
1.42 None None   None None   None None   0.153589018581 0.000292971289242  
1.435 None None   None None   None None   None None  
1.44 None None   0.164517107058 0.000223886969633   0.163870368045 0.000332005033098   0.164375399234 0.00037124894358  
1.45 0.169543474691 0.000239077662866   None None   None None   None None  
1.46 None None   None None   None None   0.175248864122 0.000409373035506  
1.465 None None   None None   None None   None None  
1.47 None None   None None   0.180215693416 0.000338810722837   None None  
1.48 None None   None None   None None   0.185307334022 0.00033866959533  
1.495 None None   None None   None None   None None  
1.5 None None   None None   0.197199552099 0.000426986064492   0.197543384145 0.000282208630875  
1.51 None None   None None   None None   None None  
1.52 None None   None None   None None   0.209071144967 0.000376532285168  
1.525 None None   None None   None None   None None  
1.53 None None   0.215452695874 0.000342089214778   0.215456169538 0.000437506376916   None None  
1.535 None None   None None   None None   None None  
1.54 None None   None None   None None   0.221988970312 0.000428934946398  
1.555 None None   None None   None None   None None  
