# Je drei Spalten beschreiben ein L: Temperatur, Wert, Fehler
# L:  16 32 64 128
0.1 1.0 0.0   1.0 0.0   1.0 0.0   1.0 0.0  
0.15 None None   None None   None None   None None  
0.18 None None   None None   None None   None None  
0.2 None None   None None   None None   1.0 0.0  
0.24 None None   1.0 0.0   None None   None None  
0.25 1.0 0.0   None None   1.0 0.0   None None  
0.26 None None   None None   None None   None None  
0.3 None None   None None   None None   1.0 0.0  
0.34 None None   None None   None None   None None  
0.35 None None   None None   None None   None None  
0.38 None None   0.999999999992 6.8849663519e-12   None None   None None  
0.4 0.999999999637 1.92622759003e-10   None None   0.999999999995 1.93126421268e-12   0.999999999999 2.38804233198e-13  
0.42 None None   None None   None None   None None  
0.45 None None   None None   None None   None None  
0.5 None None   None None   None None   0.999999999943 1.6487400297e-12  
0.52 None None   0.999999998424 1.00484723774e-10   None None   None None  
0.55 0.999999982807 1.4533833257e-09   None None   0.99999999903 2.97029504418e-11   None None  
0.58 None None   None None   None None   None None  
0.6 None None   None None   None None   0.999999999194 7.3136535718e-12  
0.65 None None   None None   None None   None None  
0.66 None None   0.99999995768 6.81564232184e-10   None None   None None  
0.7 0.999999646882 5.79707243344e-09   None None   0.999999978032 1.56273997413e-10   0.999999994523 2.1910596675e-11  
0.74 None None   None None   None None   None None  
0.75 None None   None None   None None   None None  
0.8 None None   0.999999628228 1.86185819374e-09   None None   0.999999976651 5.25631376506e-11  
0.82 None None   None None   None None   None None  
0.83 None None   None None   None None   0.999999966178 7.9009763731e-11  
0.84 None None   None None   None None   None None  
0.85 0.999997297439 2.00233730707e-08   None None   0.999999828592 5.66428558459e-10   None None  
0.86 None None   None None   None None   0.999999951771 9.75890935583e-11  
0.87 None None   None None   None None   None None  
0.88 None None   None None   None None   None None  
0.89 None None   None None   None None   0.999999933176 1.34319608125e-10  
0.9 None None   0.999998814296 3.40277771061e-09   0.999999702335 9.70443390116e-10   None None  
0.91 None None   None None   None None   None None  
0.92 None None   None None   None None   0.999999909246 1.93857836539e-10  
0.93 None None   None None   0.999999599036 8.96976179311e-10   None None  
0.94 None None   None None   None None   None None  
0.95 None None   None None   None None   0.999999878395 2.60592382158e-10  
0.96 None None   None None   0.99999946373 1.33382950096e-09   None None  
0.97 None None   None None   None None   None None  
0.98 None None   None None   None None   0.999999838788 3.55733434539e-10  
0.99 None None   0.999997189563 7.2833512018e-09   0.999999297466 1.58926278754e-09   None None  
1.0 0.999987882419 4.92143434216e-08   None None   None None   None None  
1.01 None None   None None   None None   0.999999790489 4.57678800245e-10  
1.02 None None   None None   0.999999088011 2.21603604438e-09   None None  
1.03 None None   None None   None None   None None  
1.04 None None   None None   None None   0.999999730795 5.36718792612e-10  
1.05 None None   None None   0.999998836084 2.66313294643e-09   None None  
1.06 None None   None None   None None   None None  
1.07 None None   None None   None None   0.999999659582 6.44617606255e-10  
1.08 None None   0.99999411642 1.38235412549e-08   0.999998521136 3.67941987194e-09   None None  
1.09 None None   None None   None None   None None  
1.1 None None   None None   None None   0.999999571346 7.57989035505e-10  
1.11 None None   None None   0.999998153616 3.83424854356e-09   None None  
1.12 None None   None None   None None   None None  
